ranks,datasets,windows,time_sec,windows_per_sec,checksum
1,250,18277725,353.427684,51715.60,14037934.17
2,250,18277725,187.624489,97416.52,14037934.17
4,250,18277725,93.668560,195131.91,14037934.17
8,250,18277725,56.756105,322039.80,14037934.17
16,250,18277725,37.818470,483301.54,14037934.17
